City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,san antonio de pale,-1.4014,5.6325,27.35,80,99,4.03,GQ,1738717066
146,college,64.8569,-147.8028,-10.85,78,100,0.0,US,1738717067
147,paragominas,-2.9667,-47.4833,22.06,98,74,1.22,BR,1738717068
148,mananjary,-21.2167,48.3333,25.39,93,100,2.32,MG,1738717069
149,ha'il,27.5219,41.6907,11.01,32,0,2.06,SA,1738717070
150,el colomo,19.05,-104.25,23.18,86,0,1.15,MX,1738717071
151,thompson,55.7435,-97.8558,-19.91,71,20,8.23,CA,1738716494
152,port mathurin,-19.6833,63.4167,26.95,80,2,4.01,MU,1738716532
153,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,58,75,2.0,RU,1738716953
154,vorgashor,67.5833,63.95,-17.67,95,100,2.87,RU,1738717075
155,haiku-pauwela,20.9219,-156.3051,24.59,69,20,6.69,US,1738717076
156,mitchell,43.7094,-98.0298,-9.91,54,20,4.63,US,1738717077
157,tanumah,27.1,44.1333,15.39,27,96,5.24,SA,1738717078
158,cuyo,10.8525,121.0086,26.71,77,40,8.8,PH,1738717080
159,sinop,41.7711,34.8709,-3.22,96,100,1.12,TR,1738717081
160,fagaras,45.85,24.9667,-2.88,71,21,2.47,RO,1738717082
161,crane,31.3974,-102.3501,21.67,60,2,8.03,US,1738716972
162,minas de marcona,-15.2119,-75.1103,18.43,86,99,2.82,PE,1738717084
163,ancud,-41.8697,-73.8203,13.95,76,4,0.87,CL,1738716406
164,la peca,-5.6111,-78.435,21.55,84,43,1.35,PE,1738717086
165,markaz-e hukumat-e darweshan,31.1323,64.1934,6.78,32,0,1.0,AF,1738717087
166,vimperk,49.0586,13.7829,0.16,25,11,1.93,CZ,1738717088
167,breckenridge,32.7557,-98.9023,11.11,62,100,3.09,US,1738716988
168,lebu,-37.6167,-73.65,14.94,79,6,1.41,CL,1738716516
169,bundaberg,-24.85,152.35,24.93,84,100,2.88,AU,1738717091
170,roma,43.2128,-75.4557,-5.92,86,100,4.12,US,1738717015
171,prokop'yevsk,53.9059,86.719,-19.44,100,100,1.48,RU,1738717093
172,lihue,21.9789,-159.3672,23.77,50,0,8.23,US,1738717094
173,zhengjiatun,43.5064,123.5064,-19.55,80,11,3.18,CN,1738717095
174,touros,-5.1989,-35.4608,25.69,84,100,4.7,BR,1738717096
175,pointe aux piments,-20.0628,57.5131,26.4,92,13,3.81,MU,1738717097
176,gao,16.6362,1.637,22.08,12,100,5.94,ML,1738716823
177,enewetak,11.3474,162.3373,26.8,71,80,8.81,MH,1738717100
178,melo,-32.3667,-54.1833,25.89,80,9,5.85,UY,1738716898
179,les andelys,49.25,1.4167,3.62,96,100,2.16,FR,1738717104
180,zhenjiang,32.2092,119.4342,7.11,66,90,5.85,CN,1738717105
181,margate,51.3813,1.3862,6.5,89,23,5.51,GB,1738716838
182,vanino,49.0869,140.2543,-6.6,92,100,7.29,RU,1738717107
183,novoishimskiy,53.1981,66.7694,-12.42,93,100,3.01,KZ,1738717108
184,bayanhongor,46.7167,100.1167,-32.74,87,12,0.68,MN,1738717109
185,hamilton,39.1834,-84.5333,4.77,66,0,3.13,US,1738716365
186,nemuro,43.3236,145.575,-0.4,68,16,10.53,JP,1738716906
187,mae hong son,19.3003,97.9685,17.08,94,100,0.0,TH,1738717112
188,yigou,35.8114,114.3167,-2.52,23,20,1.9,CN,1738717113
189,lazaro cardenas,17.9583,-102.2,25.4,75,0,2.3,MX,1738717114
190,madera,37.1666,-119.8343,13.19,87,100,4.11,US,1738717115
191,sao felix do xingu,-6.6447,-51.995,22.38,97,84,0.75,BR,1738717116
192,camabatela,-8.1881,15.375,17.92,85,100,0.98,AO,1738717118
193,kongsvinger,60.1905,11.9977,2.53,100,100,5.9,NO,1738717119
194,port blair,11.6667,92.75,23.02,94,20,1.03,IN,1738717042
195,kailua-kona,19.6406,-155.9956,26.27,69,14,2.19,US,1738717121
196,san luis de la loma,17.2706,-100.8939,25.3,73,0,2.16,MX,1738717122
197,qusmuryn,52.4503,64.6311,-8.96,88,100,3.68,KZ,1738717123
198,colonia,50.9333,6.95,0.36,86,75,2.06,DE,1738717124
199,port augusta,-32.5,137.7667,29.27,33,0,6.12,AU,1738717125
200,ibanda,0.9268,29.856,18.25,49,96,0.21,CD,1738717126
201,susuman,62.7833,148.1667,-40.56,94,81,0.92,RU,1738716917
202,mossel bay,-34.1831,22.146,19.56,83,0,5.02,ZA,1738717128
203,teguise,29.0605,-13.564,14.12,59,20,4.63,ES,1738717129
204,berdigestyakh,62.0989,126.6992,-37.46,99,40,1.49,RU,1738717130
205,manggar,-2.8833,108.2667,26.52,82,99,4.5,ID,1738717131
206,turaif,31.6725,38.6637,7.14,36,0,2.06,SA,1738717132
